fen,eval_cp
rnbk4/p4n1p/2p5/8/PP1p3P/2p5/4PPP1/R1B1KBNR w - - 1 18,632
8/rk2p3/8/Q7/N7/1P1P1Kp1/2P5/2b5 b - - 0 39,459
1rb1kbn1/Np1pppp1/n1p5/8/R2P2P1/3N4/1PP1PP2/1Q2KB1r b - - 0 12,-210
6nr/p1kR4/p4p1p/P7/1PP2b2/2P5/8/7K b - - 3 35,862
1r3bnr/4pk2/1p6/p1pp3p/P2N2p1/P3P3/7K/RNB5 b - - 0 39,824
r1bqkbnr/pp2p1pp/B2p1p2/2p5/4P3/5NP1/PPPP1P1P/RNBQK2R w KQkq - 0 5,614
rnbqkbnr/pp2pppp/2p5/3N4/8/7P/PPPPPPP1/R1BQKBNR b KQkq - 0 3,460
rk3b1r/3bpp2/p2p3R/8/3PP3/5B2/PB3R2/2K5 b - - 2 30,614
r7/p5p1/1P1P1nN1/5p2/RnpB1P1r/1PP1P1k1/4K3/8 b - - 0 32,276
rn1qkb1r/p2p2pp/1pp2p1n/3Pp3/6Q1/2P1P2N/PP3PPP/RNB1KbR1 b Qkq - 2 10,830
r1b3nr/p4k2/1pn1p2N/8/1b2P1pP/8/P1P2PP1/R2K2R1 b - - 1 21,853
8/2p1b1rp/4p2k/1Np1P2P/8/BN4P1/3P1K2/R6R w - - 1 34,765
r1bqkbnr/ppp1p3/3p2pp/8/P2PQP2/8/2P2KPP/RNB2BNR b kq - 0 11,-319
r3kbnr/3npppp/pp1q4/2pp4/2P4P/3P1P1R/PP1BPKP1/RN1Q1BN1 b kq - 2 10,-467
4n3/5k2/1p6/p7/P3r3/1P2P3/3K4/8 b - - 0 40,604
r1bqkbnr/pp2pp2/n1pp3p/6p1/8/NP3P2/P1PPPNPP/1RBQKB1R b Kkq - 0 6,-46
rnbqk1nr/p1p5/5pp1/1pbp2NP/P2p4/4P3/1PPB1P1P/RN1QKBR1 w kq - 0 12,164
r1b2bk1/pp1p2p1/n7/4Np2/PPp2n2/N2PPK1B/2P2P2/RQ2B3 w - - 0 21,667
r5k1/p2b1n1R/4rp2/1p1p4/5P2/P4K2/2PP4/RNBQ4 w - - 2 29,360
rnbqkb1r/ppp3p1/4p2p/3p1p1R/P7/6PN/1PPPPP2/RNBQKB2 b Qkq - 1 7,-170
8/4k2n/2n5/6P1/4p3/2N3p1/4PP2/4K3 w - - 2 40,-52
1nnk4/8/4p3/1Pp5/1p5r/5p1P/3K1P2/2B2B1R w - - 1 38,-12
rnb1kbnr/pp1pppp1/1qp4p/8/7P/2N5/PPPPPPPR/R1BQKBN1 b Qkq - 0 4,122
