fen,eval_cp
r1bqkbn1/3pp3/2p2p2/p6P/PPP4p/2NP1P2/3P2K1/R1B2BNR b q - 1 15,399
7r/3k4/3p4/1n2pn1P/7P/3P4/5Pb1/K7 w - - 0 37,-879
1n2kbb1/B3p3/8/p2n1P1p/p5p1/2P5/R1PKP3/1N4N1 w - - 0 25,158
1n4nr/3k2P1/8/7p/2p4P/P4K1N/1Pb2P1b/8 w - - 0 36,398
1n4n1/1pk5/1p3bp1/4pbR1/3PP3/7B/2P5/7K b - - 0 37,685
1N6/p3n3/3p3k/8/r4P2/R7/5P1K/7N b - - 2 36,438
rnb1kbnr/1p3p2/p3p2p/2pp2p1/P7/3P2PP/2P1NPB1/R1BQK1NR w KQkq - 0 10,703
3k1bn1/p1p3N1/3p4/7r/2P1PP1p/5KpP/R7/1QB3R1 w - - 2 32,5000
r6r/pbp1n1p1/8/4kp1p/1b1qP1P1/P4P1N/2P1K2P/RNB4R w - - 1 19,-546
1nb1r3/rp1pk1p1/p5p1/2p5/P7/2P5/1P1BPnB1/1R2K1R1 b - - 0 23,326
4krr1/1p6/p1n1P1nP/6P1/4N3/3P4/PPP5/R3K3 w - - 1 40,-300
rn2kb2/qp2p3/p7/8/R2p4/7B/3N1K2/R7 b q - 7 31,482
5b2/2k1p1nr/P7/5N1p/P6P/7N/3R1P1R/1K6 b - - 0 34,-457
r1b4r/p1kpp2p/np4pb/8/7P/2PnN3/5PP1/2B1K1R1 w - - 0 23,-878
1nbqkbnr/r2ppp1p/1p6/2p5/2P3p1/3PP3/PP3PPP/RNBK1BNR b k - 0 7,737
r1bqkbnr/2ppp2p/1pn2p2/p5Np/3P4/N7/PPP1PPPP/R1BK1B1R b kq - 1 8,685
4k3/6pr/2P5/p6p/P3KnPP/2P5/8/8 b - - 0 36,554
5bnr/1B1pp3/5k1p/6p1/R1P3P1/1P1PB1PK/1P5R/1N4N1 b - - 2 21,-864
r7/pb1nn3/1ppkp3/3p1prP/1P1PP3/N1K5/P1P2PB1/3R2NR w - - 3 23,267
7k/8/b1pP1p2/5P1p/2P2P2/6KP/8/8 w - - 2 37,579
2k2bn1/4Q3/5n2/1R5p/3p4/3P1P2/2P1K3/6N1 b - - 2 30,13
rnbqkbnr/p1ppppp1/8/7p/2P5/8/p2PPPPP/R1BQKBNR w KQkq - 0 6,-429
rR2q2B/p3p3/2ppkn1p/6p1/2b5/5PPP/P1PK4/6NR b - - 1 24,812
N7/4r1k1/6p1/2P5/1p6/P5K1/R1P5/2N5 w - - 4 36,602
rnb2q2/1p1pn1p1/pk2p3/2p4P/8/P1PPP3/PB4K1/RN2NB2 w - - 4 21,-590
rnb1kbnr/ppqp2p1/2p1p2p/5p2/3P4/2N5/PPPKPPPP/R1BQ1BNR w kq - 2 6,-40
rnbqkb1r/ppp1pppp/8/3p4/6n1/N1P2P2/PP1PP1PP/R1BQKBNR w KQkq - 0 4,299
2bqkbnr/p1ppp1pp/1rn5/1p2p3/6P1/2P4P/PP1PPP2/RNBQKB1R w KQk - 1 8,-407
rnbqkbnr/p1pp1pp1/8/1p2p2p/P1P1PP2/8/1P1P2PP/RNBQKBNR w KQkq - 0 5,263
rn3b1r/4k1pp/p1pp1p2/1p5P/1PP5/2N2p2/PB2PKB1/R4nN1 b - - 4 26,515
1nb2k2/r1p1p3/1r6/PP4pQ/3p1P2/N3P1Pq/PB1PBK2/R4R2 w - - 8 26,826
5Bnr/6k1/3N4/1b1p3p/1P3p1P/2Kp1N2/2P5/8 b - - 1 38,296
4k3/6p1/1pr3p1/p2p4/3P2K1/N2P4/P3P2P/5BR1 w - - 0 35,653
r1Bk4/p7/2n5/8/PBpK2p1/2P2PP1/P3PR1r/R5N1 w - - 1 28,616
5r2/pp6/3k1n2/8/1R6/N1P5/P3P1R1/6K1 b - - 3 38,-504
1nbqkbn1/3p4/4pp1p/p1p3p1/1P1PP3/2Q2N1P/5P2/RN2KB1R b KQ - 1 18,-334
rnbqkbn1/p5pr/3Pp3/1p6/P4p1p/1P1Q1N1P/2P1PPP1/RNB1KB1R w KQq - 0 12,740
2r5/6kp/3pp2q/r7/2P3B1/3P4/1R6/4K3 w - - 4 36,-692
r1b3Rr/1p1knp2/2p1p3/2n5/P3P2P/2N2P2/RN2K3/2b4R b - - 2 26,430
r2qkb1r/ppp1pppp/2np4/8/1P6/B2P4/P1P4P/RN1bK1R1 b Qkq - 0 10,936
1nb1kbnr/rpp1pppp/8/p6q/2P5/P4N1P/1P1PPPP1/R1BQKB1R w Qk - 1 9,-142
2r1k3/1p4pr/p4n2/3p3p/N2B2nP/P4P1N/1PP1P3/R1Q2K2 b - - 4 20,-645
r4bnr/3kpppp/n2p4/8/P7/2q5/3PPPPP/RNB1KBNR w KQ - 0 9,500
3k3r/5p2/6pn/p2bp3/P6p/1PR5/6BP/4K2R b - - 2 31,491
q5n1/4pk2/p7/2p3P1/2P3R1/8/PnQ1K3/RN6 b - - 2 25,-458
rnbk1b1r/p2p4/7p/1p6/1P2p3/N4N2/P2PPP1n/R1BK1B2 b - - 1 15,592
1nb1k1n1/3p1p2/2p5/2P1PpK1/1pP3p1/6N1/2r4R/RNB3Q1 w - - 4 23,791
r4k2/p7/b1n5/4P1p1/8/5Pp1/3K3P/4Nq1R b - - 2 38,5000
r1bqkbnr/ppppp1pp/2n5/5p2/8/1PN5/P1PPPPPP/R1BQKBNR w KQkq - 1 3,3
r4br1/3nk3/1p2n1pp/pP1pp1N1/3q1PPP/2P1P3/PN5R/1R2KB2 w - - 1 27,-143
6r1/7p/1n1B1P2/p7/2kN1Q2/8/3P1K1P/7R w - - 12 33,5000
r2q1b2/2p2p2/2npkp2/p7/8/N2r4/PPPQPP2/1R2KR2 w - - 2 15,333
4kbnr/4p3/B1p4p/p2Q1p1P/5P2/8/nNPPR3/R2K4 w - - 0 24,5000
1kb5/r2pb3/3n1nP1/p5r1/P6P/3P4/1PP1N1K1/1RB4R w - - 3 28,400
rn3b1r/4p1pp/p2p4/5k1P/P7/1P2P1P1/2PB4/R3K2b w - - 0 24,-734
r1b1kbnr/pppp1ppp/8/4p3/2P1N3/P2nPN2/1PQ3PP/R1BK1B1R b kq - 1 9,-675
1n2k1n1/1ppbp1br/r4pp1/7P/1P5P/2P2P2/P2N4/R3K1NR b KQ - 0 15,723
r1q4r/ppp4p/3b1pk1/6p1/PP1nQ3/4N3/RnP1PP1P/2K2BNR b - - 5 24,-315
2b1kb1r/2pp2pp/n3p2n/5p2/3N3q/p4P2/2PPPNPP/2BQKBR1 w k - 2 11,-187
r1b3n1/1p1p2p1/2n3k1/4pp2/p3NP2/1P6/1KP1P2R/RNQ2B2 b - - 0 21,-737
2b1k3/p6p/2R4P/6p1/r3P3/2P5/2P5/2RBK3 b - - 0 34,-432
8/5k2/B2pp3/1P4PR/8/1KN1p1P1/8/5rN1 w - - 2 38,725
r1b2knr/p2np1b1/5pPp/8/1P3P2/3PK1PN/PP4R1/RNBQ4 w - - 1 20,602
3nkb1r/rpp1pppp/8/pbP5/4K3/BP2PN2/P3BPnP/R5R1 b k - 7 18,592
rnbqkb1r/p1pppppp/8/1p6/1P6/7B/P1PPPK1P/RNBQ2NR w kq - 0 5,172
rnbqkb1r/pp1ppppp/2p2n2/8/2P5/7P/PP1PPPP1/RNBQKBNR w KQkq - 1 3,15
5k1b/5p2/p2P3p/1p6/5P2/6P1/K6P/8 w - - 1 37,-549
2b5/p4Rpr/3ppk1p/p5N1/P3P3/2P3K1/3N2P1/R1BQ4 b - - 0 26,-967
1r2b3/1Q4p1/1b3p1p/3n4/2kP1pP1/3N3N/2PP1K1P/2B2BR1 w - - 8 30,5000
r1b4r/1pkQ1pp1/p7/2b1p2p/2P1PB1P/5P2/P1P1N3/R3K1NR b KQ - 0 17,-480
rnbk2B1/1p4p1/2ppp2p/p7/1PP5/B1b2PP1/P3K3/4R1NN b - - 0 21,519
4kb2/B2rppp1/4R3/1p6/1PpNn3/8/2K5/7r b - - 0 37,855
r7/p1q2p2/np6/3p1kr1/P1p5/2P1P1bN/RPK1P1P1/4BB2 w - - 6 26,-635
r1b2b1r/pppkp1p1/n4p2/P6p/4pP2/1RP1n3/1P1P2PP/1NB2KR1 w - - 3 18,-628
rnb4r/p5rp/3pk3/6p1/P4Pn1/7K/4P1BP/1R2R3 w - - 0 26,-512
r1bqkbnr/ppp1pppp/2n5/1B1p4/8/4P3/PPPP1PPP/RNBQK1NR w KQkq - 0 3,31
1n1k4/8/r3pp2/5PN1/qNQ5/8/2PP4/R1B3K1 b - - 0 30,-430
1n1k4/8/7p/p7/1nKpr3/PP5P/1N6/8 w - - 0 40,-549
5b2/Q1p5/8/1Pkr4/4Kp2/Pp2RP2/1P3P1P/RNB5 b - - 1 32,-1143
r4b2/2k2Bpr/7p/7n/1PPP1P2/2NP2P1/7P/2KR3R b - - 0 29,-515
r1b1kbnr/p2ppp2/npp4p/q5P1/1PP5/N4R2/P2PPPP1/R1BQKBN1 b Qkq - 0 7,-140
1r1q1b1r/4p3/1p4pp/p1np2k1/P1P3b1/4PP2/7P/1N2KBNR w - - 0 23,-701
1r1qkb1r/ppp3pp/n6n/3bpp2/P2P2Q1/1P2P3/3K1PPP/RNB2BNR w k - 4 9,-278
rn2kbnr/p1qpp2p/b4p2/6N1/1Pp5/3PP3/P1P2PPP/RNBQK2R w KQkq - 0 8,347
7r/1p4pp/B1p1Q3/6k1/5n2/P6P/P4P1R/R3K1N1 w Q - 5 26,5000
2n1k2r/2p1n3/4b1P1/8/2P2PP1/r1NP4/6B1/2B3K1 b - - 3 30,603
1rb5/1pp1k2p/p3p3/2n2pp1/8/1PRPP3/P3N1K1/5B1R b - - 1 27,-395
6n1/p4k2/8/P1p5/1pPr1N2/8/6P1/1NK2B2 w - - 0 29,58
2kr2n1/r2p1p2/nPp3p1/R5p1/7R/1P6/3P3P/1NB4K b - - 6 25,181
3b4/2p3pr/q4k1p/PpP5/1P2P1Q1/BR6/3P1K2/2R2BN1 w - - 5 30,1033
1r3kn1/p7/3Pp1p1/1b6/4P1n1/2K3P1/P2P3r/RNB5 w - - 0 25,-576
2bq2r1/2r5/n1p1k3/p1p1b1R1/P6P/RP3P1P/4K3/5B2 b - - 0 38,981
1r1r1b2/4p2n/1pp5/4k1pp/1P6/5P2/8/3K4 w - - 2 37,-966
rn6/pbp1kr1R/3p4/5p2/2N2PP1/P7/1PP2P2/R1B1qK2 w - - 1 25,-478
8/nkp3pr/bn6/1P2pp1p/8/2K2P1P/4Q1P1/1R3BR1 b - - 0 40,-542
2bbk1nr/3p2pp/3p1p2/5R2/3P1B2/2P4P/rP2BPP1/1N2K1R1 b k - 5 23,-75
6n1/1kN5/ppR4r/4p3/4P2p/5K1p/2PP1P2/8 w - - 5 41,-436
8/4nk2/5b2/2pp4/7p/P1Pn1P1P/K3B2P/1R6 b - - 1 37,279
rnbq2nr/pppp1ppp/4k3/1N2p3/8/7P/1bPPPPP1/1RBQKBNR w K - 0 6,533
r1bbk1nr/p1p3pp/n2pp3/5p2/8/N4PPN/PPPPPK1R/1RBQ4 b kq - 1 11,-620
rnb1kbnr/pp1ppppp/1q6/2p5/5N2/2P1P3/PP1P1PPP/RNBQKB1R b KQkq - 1 4,-19
r4kr1/p5p1/5b2/5P2/2B5/PP3bB1/2PPN3/RN1K4 w - - 1 28,393
r1bqkbn1/p1pppr2/1pn2p1p/1P4p1/2PP2P1/5N2/P3PP1P/RNBQKB1R w KQq - 1 8,454
2bq1r2/2p2k2/8/1p1pPB2/1n4pR/4P3/1BPP2K1/2N5 w - - 1 31,-287
2b4r/2npkpp1/1R2p2n/2b4p/7P/1P1PP3/2P1NPP1/1NBK1B1R b - - 0 15,-285
1nb1k1n1/1p6/1PpN2p1/1p1p4/1P3p2/1K1P4/r4PP1/1RB2r2 b - - 3 22,358
3k1bn1/pr2r3/4p3/1ppppPPp/7K/B5P1/R1Q3B1/6NR w - - 1 30,721
1n3knr/r1p1p3/p4p2/1ppPKQB1/P5pP/7B/1P6/1R4N1 w - - 0 25,487
r2nk2r/4pp1p/p1R2b2/3p4/5B1P/2P2N2/P6n/5K1b w k - 1 23,-892
2b1qb2/rppnkp1N/3np1p1/p3P2p/NP3P1P/8/P1PP2P1/R1BQKR2 w Q - 1 15,458
r1k5/5pp1/1p5b/pR2p3/2P5/7N/3r4/5K2 b - - 3 33,670
2bk1b2/3p2p1/p4pnr/2Q4p/2P4P/3P4/PB2P1P1/RNKQ1BqR w - - 2 17,974
rnbqk2r/1pp2ppp/3p3n/p7/P1P1p3/B3P3/P2PNPPP/RN1QKB1R b kq - 1 8,-488
rn5r/p1pk1pb1/b5pp/4p3/4P3/2P3PP/PP1P1K2/RNB3NR w - - 0 11,-47
r1bqkb1r/2pp1pp1/5n2/p3p2p/P1R1P3/7N/1PnP1PPP/1NBQKB1R w Kkq - 0 9,325
rn6/8/p1p2P2/2kN4/p2p2P1/RPr5/2Q1P1q1/4KB2 w - - 2 28,296
2n5/6k1/2N3pr/3p3p/p6P/P2P1pP1/P6R/4K2B b - - 0 35,-465
rnbqk1r1/pppp2p1/8/4Pn1p/8/6P1/PPPBP2P/RN1QK1NR w KQq - 2 9,389
r2qk3/2pp2b1/7p/p3p3/2P5/N1nR1P2/PB3P2/4K1N1 b - - 3 23,587
1nk3r1/Q1p2p2/7p/3pB2N/P7/1P6/2P2PPP/RN2Kb1R w - - 2 23,5000
r1bqk1n1/pp1p2pr/5p1p/2b1p3/6P1/3BP3/PP1P1P1P/RNBQK1NR w q - 0 11,638
1nb1k1n1/8/r5p1/1q1pP3/7r/7N/2PK1P2/RN6 b - - 1 28,1179
7R/k7/1p2N3/2NP2p1/4p3/1P1PP3/2K3B1/2B5 b - - 1 37,-897
2r3k1/p7/bn1p2p1/nB6/PP1P4/B5P1/2P5/3RK3 b - - 0 31,404
8/8/3p2k1/8/2pK4/4PR1P/4B1PR/6N1 b - - 1 39,-839
1r2k2r/p1p1b3/1p4p1/3n1b1p/3P1N2/P1N1Q1P1/1PPP3P/R1B1K2R w KQk - 4 16,829
4kBnr/1q1p4/2p3pp/8/2P5/R6P/4NP2/2K4R w - - 1 28,-117
r2qkbnr/p1pp1p1p/n7/6p1/4p1P1/7N/RPPPPP1P/1NBQKBR1 b kq - 1 7,-455
2B5/2r3k1/2p5/R3n3/2p2bP1/5N2/1P5r/1NB2K2 w - - 2 32,425
5knr/2n5/8/5p1p/3p3P/1P4N1/2P5/3K3N w - - 2 29,-485
r1bqkbnr/pppp1ppp/2n1p3/8/4P3/2P5/PP1P1PPP/RNBQKBNR w KQkq - 0 3,100
rn6/Q6r/p4k1b/3p1pp1/P2P2n1/1P1PP3/1R2K1P1/2BR4 b - - 5 30,493
2rqkb1r/pppnppp1/8/7p/4P3/1QPPn2N/PP3PPP/RN2KBR1 b Qk - 3 11,58
rn2k2r/p2p3p/b1p3pR/1p2P3/Q5p1/B1b5/P2PP2K/RN3BN1 w kq - 0 16,529
2b1k3/3p4/6pn/1Rp1Q1p1/2P1P3/3K4/1P6/6Nr b - - 1 25,-561
rQ3b1r/3kqp1p/b2pp1p1/2p2n2/6P1/N1PP1P1P/PPK1P3/R4BNR b - - 0 15,723
7r/6p1/6k1/3P2B1/1PKp4/5P2/P1n4R/RN4N1 b - - 0 32,-520
4R3/pp1k4/P5p1/3P4/5pb1/7r/2P5/2n2K2 b - - 0 29,604
1n2k3/r3n1b1/1pp3q1/p7/4P3/N3B1PR/PP3P2/R3KB2 b Q - 0 16,320
2k5/8/p5p1/P2p2P1/8/3P1K2/5bP1/8 b - - 1 40,577
5k2/4p3/8/1pp4p/3Kp3/P4PPN/1P5P/RN4R1 w - - 0 28,890
2r1k1nr/5p1p/pb6/3Rp3/8/8/PPP1P2P/1R1K1B2 w k - 3 20,-314
1n3bnr/3kp1pp/1p6/8/rp1B3P/4K1p1/P1PPP3/R1Q2B1R b - - 3 16,-334
5br1/4pk2/4n3/8/5Ppp/6K1/PB1P2PP/R4R2 w - - 0 32,399
r1bqkbnr/p1p5/np1ppp1p/6N1/P1P3Q1/N3P3/1P1P1PPP/R1B1KBR1 b Qkq - 1 8,413
6n1/1k1B4/4bp2/8/1pQ2B1N/2P4N/5K2/2R5 b - - 4 36,-763
1nbqkb1r/r1p1pppp/7n/1p1p4/1P5P/2N2P2/2PPP1P1/1RBQKBNR b Kk - 0 7,103
rBb4q/3p2k1/1R6/p7/4pP2/2P1P3/P1PK4/8 b - - 0 34,486
1r1r4/Rn3k1p/3b2p1/2ppPp2/5B1P/3PP3/2N3P1/3K1B1R w - - 1 29,642
r1b4b/p4p2/Pp3r2/3p2p1/4P3/1P5k/8/1RBK4 w - - 1 37,-736
1nr5/3p4/2q1k1p1/4p3/2P3PP/1N1P4/2Q4K/R1B5 b - - 2 36,-419
r1b1k1nr/pppp1ppp/B7/4p3/3b2P1/4PP2/PPPP3P/RNBQ1KNR w kq - 0 8,817
1rb1kbn1/p3pp1r/2p1q3/1p5p/NP1nB3/P3B3/2P2PPP/2Q1K1NR b - - 9 17,652
rn1q1bnr/pp1bk3/2p1ppQ1/3p4/1P2P2P/P1N2N2/2PP1PP1/R1B1KB1R b KQ - 0 9,-291
rn5r/p1Bk1p1p/2p1p1p1/1p6/4p3/8/PPPb1PP1/R3KBNR w - - 11 20,286
rnb1k1nr/ppp1ppb1/6pp/8/4P3/3q4/PPPPNPPP/RNBQ1K1R b kq - 3 6,600
1nb1kb1r/1pqp1pp1/7p/1B2pP2/1p2P3/P7/R6r/1N2K1NR b K - 1 19,5000
2b2r2/r7/1p2k2p/3pP3/1p1p1BPb/5P2/P7/6K1 b - - 1 38,1039
3N4/2R4p/4k3/3bppK1/P3r1Q1/3R4/8/4b3 b - - 3 37,-710
8/p2kn2p/5p2/1pPp4/1P3B2/1P3PPP/P4P2/1R2K1NR b - - 0 28,-922
1n4n1/4k1b1/Prppp1p1/8/pP6/P2P4/3BPPqR/RN2K1N1 w Q - 1 23,591
rnb3nr/ppppkppp/4p3/8/2P4b/N2P3P/PPQ1P1K1/R1B2BNR w - - 3 8,705
r3k3/1pp5/n5P1/p1b3B1/P1P1P1b1/6P1/8/4K3 b - - 0 39,732
r1bqkbnr/pppp1ppp/n7/4N3/2P5/8/PP1PPPPP/RNBQKB1R b KQkq - 0 3,-210
6r1/5k1p/2R5/p4bpp/qP1P1P1P/1P6/3B2P1/2K5 b - - 2 35,5000
rnb1k2r/pp1p2pp/8/5P2/2p3P1/P1b2N1B/3PP3/RNB1K3 w - - 2 19,484
rnb1k1nr/p1pp1ppp/3Q4/4p1P1/p3P3/5P1N/1PP4P/RNB1KB1R b KQkq - 0 8,-596
r3k3/pp3p2/n1p5/3pP1Kp/P5PR/2P2P2/1P1N2B1/R2Q2b1 b - - 4 22,-554
r1bq1b2/1p1kpp2/p1pp4/8/7p/P1P4R/3BQPP1/RN2KBN1 b Q - 0 15,-748
6B1/3n2p1/3k4/2p2b2/1pp3p1/2P3P1/R2K4/8 b - - 1 40,129
1rbqkbn1/1pppppp1/2n5/p7/6pr/5P1N/PPPPP2R/RNBQKB2 w Q - 0 7,-393
8/1b4p1/p1pk4/4p1pr/P2pP3/5PK1/5R2/1n5B w - - 0 40,-666
1rn3kQ/pp6/n2p4/P3p1P1/2p1P3/RP4P1/2PP4/2B2K2 b - - 3 32,190
5knr/3n4/r2Pp2p/7P/B4PpP/p7/3P4/1Q2K3 w - - 1 29,66
rn1qkbnr/1b1pp2p/1pp2pp1/P7/8/N3P2N/P1PPQPPP/R1B1KB1R b KQkq - 0 7,40
2b2k1r/6qp/pp1p1p2/4pP1B/4r3/Pn1N4/4Q3/1RBK4 w - - 1 34,60
r3kbnr/pp1q4/8/2n2ppp/1pP1Pp1P/5Q1R/P2P1P2/R1BK4 w kq - 0 18,-586
r5r1/pp1n1pkp/4b1pn/1p1QP3/8/1R4P1/4PKBP/7R w - - 1 24,27
r7/1bk4p/4p3/pPp3P1/P3p3/4K3/3P4/1Nn2BN1 w - - 2 29,-339
1B3k2/4p2p/1r5n/K4b1P/2P3B1/N5P1/PQPP2PR/R3N3 b - - 2 40,-773
1rb4k/8/p2pp3/2p5/N7/1P3PR1/R1P5/4KB2 w - - 3 35,683
r1bqk1nr/2Bnbp2/p6p/1p4p1/8/2PP2P1/P3PP1P/RN1Q1KNR w kq - 0 12,350
rn1qkbnr/pp2p1p1/3p1p1B/2pP4/6b1/7P/PPP1PPPR/RN1QKBN1 w Qkq - 1 6,229
r1bqkbnr/p1ppp1pp/5p2/8/1npP3P/5N2/PP2PPPR/RNBQKB2 b Qkq - 3 6,69
rnb1kr2/6p1/2qp4/1Q2p3/2P1PP2/P2B4/1P1P2P1/R1B1K3 b q - 1 19,379
rn6/1pk5/p1b5/P3pp1P/R7/8/3PPb2/1NBQKB1R w K - 0 24,828
rn3R2/7p/1pk5/8/pr6/N1PK4/3P4/8 w - - 1 40,29
bn2q3/6pn/k3p1p1/8/p2P1P1P/6K1/3BP3/R7 w - - 0 33,-643
1r1k2nr/Qp4p1/4p2p/1b1P4/1K2P3/1P6/P1PN4/R1B2BR1 b - - 0 20,-963
1r3b1r/p3pk2/2B2n1p/Bp4p1/P1p1P3/6P1/RP3P1P/1N2K1Nb w - - 2 17,-144
r1b5/pp4k1/n7/2R1N1q1/P7/2b1P1P1/7K/8 w - - 7 41,-745
rnbqkb2/pppppp2/5np1/8/P5r1/BP1PPp2/2P4P/RN1QKB1R b KQq - 2 9,590
rn1k2nr/p2bpp2/1p4p1/1p5p/8/1P4P1/2R1NP1P/4K1R1 w - - 2 18,-818
Rn4n1/3kp3/7Q/3p2pP/q1NPb2P/2P1P2R/RB6/4K3 w - - 0 34,883
2bq2nr/1pppbn2/5k1p/5pp1/R4P1P/1P6/2PPP1P1/1N1QKBN1 w - - 0 15,-445
1n1k1bn1/1p3ppq/R2pp1B1/2p5/2P5/1P2P3/2KP4/1NB3N1 w - - 1 21,373
rnb1k1nr/pp1p1pp1/2pb3p/4p3/1P2P3/B7/P1PPKPPR/RN2QBN1 w kq - 1 7,717
3k1b2/p3pp2/1rn5/1B6/P4PN1/2PK3P/1P1P4/R1B3N1 w - - 1 30,809
1rbq1bn1/1ppkp3/2n2N1p/8/1p5p/4P3/P1PP1PP1/RNB1KB1R b KQ - 0 12,627
1nbq3R/1rpppk2/p5p1/5p2/1pPB4/1P3P2/P2KP1P1/RN3B2 w - - 3 17,695
rnb3nr/p1P1k1pR/8/3p4/3PP1p1/N7/1PQ2PP1/R1B2KN1 w - - 2 18,873
5R2/5k2/8/Rp6/8/1pP1pP1b/8/1N4K1 b - - 1 38,-431
3B4/3k4/8/1p6/3pbP2/1P5N/4P3/4KB2 b - - 1 28,-520
Bn3knr/p1p3p1/1p3p2/3p2p1/8/P6R/P1P1P1K1/R1Q3N1 b - - 1 16,-683
rnbqk1nr/pppp1ppp/8/4p3/P7/7P/2PQPPP1/RNB1KBNR b KQkq - 0 4,-349
1n3k2/5P2/r1p5/p4P2/P7/4K3/8/2N5 w - - 1 40,-490
1rbk1bn1/2p4r/4p1pp/ppp5/1B1P1PpR/1PQKP3/P2N4/1R3BN1 w - - 0 20,682
rnbqkbnr/2pp2pp/1p6/p3p1p1/P1P5/3P3N/1P1NPPPP/R2QKB1R b KQkq - 0 6,627
8/3k2B1/r1p5/pp1P4/4R3/6b1/P5KP/1B4N1 b - - 3 34,-638
2r1kb2/p7/2pP4/6pP/P1P1q3/5KPB/n2N1P2/8 w - - 0 36,-101
r1b2b1r/n2pkp2/1p4p1/3pN2p/1q6/P7/2PP2PP/R1B2BKR w - - 0 18,-6
1n6/r1r1b2k/4p1p1/P7/4P1P1/3K1R2/2P3B1/1N4N1 b - - 0 30,403
1n2kbnr/4p3/6pp/p5BP/2pr4/P7/2K1PPP1/R4B1R b - - 1 23,445
2bq2nr/1ppk1p1p/3B3b/6p1/2P2P2/6P1/1R2P2P/r2QKn1R w K - 1 21,-390
6nr/prpB1k2/1pP3p1/8/8/PN3P2/2R1P2R/4K1N1 b - - 0 26,-810
rnbqkbnr/2ppppp1/p6p/1p6/3P4/4P1PN/PPP2P1P/RNBQKB1R b KQkq - 0 4,1
7k/p5p1/n7/1p2pn2/6Pp/1P2bP2/2K1B2P/4R1R1 w - - 1 37,456
rn2k1nr/1p5p/2pp2p1/4pp2/3NP1P1/2NP4/4B1P1/1RbK4 w k - 0 20,-426
r1b1k2r/2pp3p/ppn5/4ppp1/1bP2Pnq/3P2PP/P2QP1B1/RNB1K1NR w kq - 0 11,460
2bk1r2/2Rp1p2/2QP2n1/b3p3/4KP2/NPP4P/4P3/5BNR b - - 0 31,-523
rnb2k1r/qp1Q1ppn/2p5/p3p3/B4P2/bP2P2P/P1PP4/R1B2KNR b - - 2 18,705
8/7b/6p1/6P1/5P1k/1p6/6K1/1n6 w - - 1 39,-715
r2qkbnr/ppp1pppp/2np4/8/4P3/2P4b/PP1PNPPP/RNBQKBR1 b Qkq - 2 4,-21
8/4k1p1/1pp4p/p1p5/5P2/2PR3p/1BK4P/5N1R w - - 0 41,873
rnb1kbnr/1p1p1Qpp/4p3/p1p5/6q1/3KP2P/PPPP2P1/RNB2BNR b kq - 0 7,94
1rb5/q2kp1b1/np6/pPp5/8/1P3PPP/2PP2K1/RNB5 w - - 0 22,-711
rn4nr/pp2p1k1/6p1/B2NbB1p/8/1P4P1/P1P1K2P/6NR b - - 4 20,456
4k1r1/7p/4p1p1/1p2N1P1/r4b2/1P4PP/8/2BKR3 b - - 0 37,479
r1k5/p6p/3R4/2p5/1n3b2/2P1P2q/5P2/1NR3K1 b - - 4 36,5000
rnb2r2/ppppb1pk/8/4ppq1/P1P1P3/3Q4/1P1P1PP1/RNB1KBN1 w Q - 1 11,-219
rnbqkb1r/pp1pppp1/5n2/2p4p/8/3PP1PB/PPP2P1P/RNBQK1NR b KQkq - 0 4,84
4k3/2p5/8/pP2p1P1/7r/4P3/RK2Q3/8 w - - 5 40,669
1rb3k1/ppnp4/4p3/7p/2PpN3/PP6/6PP/1R1K1R2 b - - 0 31,-270
r1bqkb1r/pppppp1p/n4n2/1N4p1/7P/2P5/PP1PPPP1/R1BQKBNR b KQkq - 0 4,48
2rk1bn1/2p1p1p1/3p1p2/1Q2N2p/1P1KP3/p1N2P2/bB2B2P/R7 b - - 1 23,-617
1n6/3r2p1/8/p1p1k3/P7/2K1P1pP/4Rr2/5R2 w - - 1 39,-380
1Q4r1/p2bkp1p/1qppp1p1/8/1nPP4/P4N1P/6P1/1N2KB1R w - - 1 23,483
2r1k3/rp3pp1/nBp5/7p/2P5/P1NP2P1/Q5K1/RN6 b - - 0 28,-713
r2qkbnr/pPp1pp1p/B5p1/8/8/1b3N2/PP1P1PPP/RNBQK2R w KQkq - 2 7,5000
r2qkb1r/ppp1pppp/5n2/3B1b2/8/4P3/PPPP1PPP/RNBQK1NR w KQkq - 1 8,561
5r2/1p1k1p2/4rp2/p7/P1p3n1/1P2B1P1/R1P3b1/3NK3 w - - 1 35,-704
rnbqkb1r/1p1p1p1p/p6n/2p3p1/P2PP3/4B1P1/1PQ2P1P/RN2KBNR w KQkq - 0 9,227
1R1k2r1/5r2/3b3p/p1p1P1p1/P1P5/4p1q1/2K5/8 b - - 4 38,5000
rn4n1/1b3k2/p3p1pB/1p1p2q1/1P6/2PP2PP/P3P3/RN1K1BNR w - - 1 19,858
2r2b1r/1b6/pp1p2pp/4k2P/1PP1pN2/P7/RR1K4/8 w - - 0 31,-312
r1b1kbnr/p1p1p2p/2p2pp1/8/8/2P2P2/RPQqP1PP/1NB1KBNR w Kkq - 0 9,828
2bk3r/5p2/p1rp3p/8/4PPPb/P2P1N1K/1P4P1/R4B2 b - - 5 27,481
